,Movie Name,Release Year,Rating,Description,Genre
99,Blade Runner 2049,2017,8.0,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.","['Action', ' Drama', ' Mystery']"
100,Tenet,2020,7.3,"Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.","['Action', ' Sci-Fi', ' Thriller']"
101,Terrifier 2,2022,6.2,"After being resurrected by a sinister entity, Art the Clown returns to the timid town of Miles County where he targets a teenage girl and her younger brother on Halloween night.",['Horror']
102,She Said,2022,7.2,New York Times reporters Megan Twohey and Jodi Kantor break one of the most important stories in a generation - a story that helped ignite a movement and shattered decades of silence around the subject of sexual assault in Hollywood.,"['Drama', ' History']"
103,Maybe I Do,2023,5.5,"Michelle and Allen are in a relationship. They decide to invite their parents to finally meet about marriage. Turns out, the parents already know one another well, which leads to some differing opinions about marriage.","['Comedy', ' Romance']"
104,Causeway,2022,6.5,A US soldier suffers a traumatic brain injury while fighting in Afghanistan and struggles to adjust to life back home.,['Drama']
105,La La Land,2016,8.0,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.","['Comedy', ' Drama', ' Music']"
106,Men,2022,6.1,A young woman goes on a solo vacation to the English countryside following the death of her ex-husband.,"['Drama', ' Fantasy', ' Horror']"
107,Inglourious Basterds,2009,8.3,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.","['Adventure', ' Drama', ' War']"
108,Hustlers,2019,6.3,"Inspired by the viral New York Magazine article, Hustlers follows a crew of savvy former strip club employees who band together to turn the tables on their Wall Street clients.","['Comedy', ' Crime', ' Drama']"
109,True Spirit,2023,6.9,"The story of Australian teenager, Jessica Watson, the youngest person ever to sail solo, non-stop around the world.","['Adventure', ' Biography', ' Drama']"
110,This Is 40,2012,6.2,"Pete and Debbie are both about to turn 40, their kids hate each other, both of their businesses are failing, they're on the verge of losing their house, and their relationship is threatening to fall apart.","['Comedy', ' Drama', ' Romance']"
111,Bone Tomahawk,2015,7.1,"In the dying days of the old west, an elderly sheriff and his posse set out to rescue their town's doctor from cannibalistic cave dwellers.","['Drama', ' Horror', ' Western']"
112,Magic Mike,2012,6.1,"A male stripper teaches a younger performer how to party, pick up women, and make easy money.","['Comedy', ' Drama']"
113,Get Out,2017,7.7,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.","['Horror', ' Mystery', ' Thriller']"
114,The Hunger Games,2012,7.2,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,"['Action', ' Adventure', ' Sci-Fi']"
115,The Departed,2006,8.5,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,"['Crime', ' Drama', ' Thriller']"
116,Old,2021,5.8,"A vacationing family discovers that the secluded beach where they're relaxing for a few hours is somehow causing them to age rapidly, reducing their entire lives into a single day.","['Drama', ' Horror', ' Mystery']"
117,Joker,2019,8.4,A mentally troubled stand-up comedian embarks on a downward spiral that leads to the creation of an iconic villain.,"['Crime', ' Drama', ' Thriller']"
118,Death on the Nile,2022,6.3,"While on vacation on the Nile, Hercule Poirot must investigate the murder of a young heiress.","['Crime', ' Drama', ' Mystery']"
